scraped_at,rank,rank_change,rank_change_direction,link,name,event_text,issuer,image
2025-11-10T02:25:17.102504,34,▼1,down,https://www.card-gorilla.com/card/detail/2848,카드의정석2,최대 36.5만원 혜택,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2848/card_img/45022/2848card_1.png
2025-11-10T02:25:17.102808,35,▲4,up,https://www.card-gorilla.com/card/detail/2632,디지로카 London,최대 21만원 캐시백,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2632/card_img/41192/2632card.png
2025-11-10T02:25:17.103126,36,▼2,down,https://www.card-gorilla.com/card/detail/2699,카드의정석 TEN,최대 36.5만원 혜택,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2699/card_img/34252/2699card.png
2025-11-10T02:25:17.103459,37,▲3,up,https://www.card-gorilla.com/card/detail/2786,힐튼 아너스 아멕스 프리미엄,30만원 캐시백,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2786/card_img/38997/2786card.png
2025-11-10T02:25:17.103833,38,▲8,up,https://www.card-gorilla.com/card/detail/2823,롯데멤버스 카드,최대 43만원 혜택,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2823/card_img/41105/2823card.png
2025-11-10T02:25:17.104148,39,▲3,up,https://www.card-gorilla.com/card/detail/2669,현대카드 M,3만원 캐시백,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2669/card_img/43704/2669card_5.png
2025-11-10T02:25:17.104492,40,▲1,up,https://www.card-gorilla.com/card/detail/2689,카드의정석 EVERY POINT,최대 36.5만원 혜택,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2689/card_img/33241/2689card.png
2025-11-10T02:25:17.104804,41,▼11,down,https://www.card-gorilla.com/card/detail/2228,LOCA LIKIT,최대 21만원 캐시백,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2228/card_img/21353/2228card.png
2025-11-10T02:25:17.105106,42,▲11,up,https://www.card-gorilla.com/card/detail/2731,신한카드 Point Plan+,최대 29만원 캐시백,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2731/card_img/36308/2731card.png
2025-11-10T02:25:17.105408,43,▲14,up,https://www.card-gorilla.com/card/detail/716,메리어트 본보이™ 더 베스트 신한카드,최대 30만원 캐시백,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/716/card_img/22190/716card.png
2025-11-10T02:25:17.105712,44,▲26,up,https://www.card-gorilla.com/card/detail/2846,클래시 트래블카드,3만원 캐시백,NH농협카드,https://d1c5n4ri2guedi.cloudfront.net/card/2846/card_img/42434/2846card_1.png
2025-11-10T02:25:17.106027,45,▲7,up,https://www.card-gorilla.com/card/detail/2902,the OPUS silver,최대 15만원 혜택,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2902/card_img/44665/2902card_1.png
2025-11-10T02:25:17.106328,46,▲20,up,https://www.card-gorilla.com/card/detail/772,BLISS.5 카드(마일리지),,IBK기업은행,https://d1c5n4ri2guedi.cloudfront.net/card/772/card_img/22246/772card.png
2025-11-10T02:25:17.106626,47,▲1,up,https://www.card-gorilla.com/card/detail/2237,하나 스카이패스 아멕스 플래티늄 카드,,하나카드,https://d1c5n4ri2guedi.cloudfront.net/card/2237/card_img/20939/2237card.png
2025-11-10T02:25:17.106927,48,▼11,down,https://www.card-gorilla.com/card/detail/2807,신한카드 The BEST-X,최대 29만원 캐시백,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2807/card_img/44805/2807card-(1).png
2025-11-10T02:25:17.107253,49,-,default,https://www.card-gorilla.com/card/detail/2688,카드의정석 I&U+,최대 36.5만원 혜택,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2688/card_img/33240/2688card.png
2025-11-10T02:25:17.107566,50,▲9,up,https://www.card-gorilla.com/card/detail/2728,BC 바로 MACAO 카드,최대 25만원 혜택,BC 바로카드,https://d1c5n4ri2guedi.cloudfront.net/card/2728/card_img/36134/2728card.png
2025-11-10T02:25:17.107877,51,▼15,down,https://www.card-gorilla.com/card/detail/2851,우리카드 7CORE,최대 36.5만원 혜택,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2851/card_img/43400/2851.png
2025-11-10T02:25:17.108189,52,▼9,down,https://www.card-gorilla.com/card/detail/2559,K-패스 (신용),최대 12.5만원 캐시백,IBK기업은행,https://d1c5n4ri2guedi.cloudfront.net/card/2559/card_img/33437/2690card.png
2025-11-10T02:25:17.108506,53,▲1,up,https://www.card-gorilla.com/card/detail/2697,현대카드 MX Black Edition2,20만원 캐시백,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2697/card_img/33888/2697card.png
2025-11-10T02:25:17.108817,54,▼19,down,https://www.card-gorilla.com/card/detail/54,삼성카드 스페셜마일리지(스카이패스),기존회원도 최대 12만원 혜택,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/54/card_img/20135/54card.png
2025-11-10T02:25:17.109123,55,▲7,up,https://www.card-gorilla.com/card/detail/2346,BC 바로 클리어 플러스,,BC 바로카드,https://d1c5n4ri2guedi.cloudfront.net/card/2346/card_img/32523/2346card.png
2025-11-10T02:25:17.109456,56,▲2,up,https://www.card-gorilla.com/card/detail/2711,대한항공카드 300,,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2711/card_img/35455/2711card_4.png
2025-11-10T02:25:17.109765,57,▲4,up,https://www.card-gorilla.com/card/detail/2824,롯데멤버스 카드 프리미엄,최대 43만원 혜택,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2824/card_img/41106/2824card.png
2025-11-10T02:25:17.110081,58,▼14,down,https://www.card-gorilla.com/card/detail/2662,American Express® Green Card Edition2,15만원 캐시백 이벤트,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2662/card_img/32405/2662card.png
2025-11-10T02:25:17.110378,59,▼8,down,https://www.card-gorilla.com/card/detail/2544,zgm.play카드,최대 14만원 캐시백,NH농협카드,https://d1c5n4ri2guedi.cloudfront.net/card/2544/card_img/29533/2544card.png
2025-11-10T02:25:17.110675,60,▼5,down,https://www.card-gorilla.com/card/detail/2737,the Red (항공 마일리지형),,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2737/card_img/36950/2751card_2.jpg
2025-11-10T02:25:17.110976,61,▼14,down,https://www.card-gorilla.com/card/detail/736,American Express® Reserve,기존회원도 최대 17만원 혜택,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/736/card_img/28065/736card.png
2025-11-10T02:25:17.111298,62,▼2,down,https://www.card-gorilla.com/card/detail/2779,IBK포인트(신용),최대 12.5만원 캐시백,IBK기업은행,https://d1c5n4ri2guedi.cloudfront.net/card/2779/card_img/39564/2779card.png
2025-11-10T02:25:17.111607,63,▼18,down,https://www.card-gorilla.com/card/detail/945,신한카드 The CLASSIC-S,최대 30만원 캐시백,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/945/card_img/21598/945card.png
2025-11-10T02:25:17.111911,64,▲19,up,https://www.card-gorilla.com/card/detail/131,BeV V카드(스카이패스형),,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/131/card_img/20360/131card.png
2025-11-10T02:25:17.112215,65,▲22,up,https://www.card-gorilla.com/card/detail/2235,삼성 iD ON 카드,,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2235/card_img/28314/2235card.png
2025-11-10T02:25:17.112517,66,▲2,up,https://www.card-gorilla.com/card/detail/52,삼성카드 taptap S,,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/52/card_img/27708/52card.png
